dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_rmse_mae_ratio,train_test_mae_ratio,n_train,n_val,n_test,epochs,train_time_h,units,is_small_dataset
log_kvrh,chemsys,coNGN,0.000404,0.002161,0.999965,0.052855,0.117984,0.901863,0.049152,0.099702,0.926124,2.0284,0.0082,7682,1097,2204,600,1.0945,log(GPa),0
log_kvrh,composition,coGN,0.000479,0.009135,0.99938,0.054673,0.106641,0.910441,0.060518,0.113687,0.909547,1.8786,0.0079,7662,1095,2226,800,0.4974,log(GPa),0
log_kvrh,composition,coNGN,0.000319,0.001762,0.999977,0.050522,0.108193,0.907815,0.053202,0.105263,0.922455,1.9785,0.006,7662,1095,2226,600,1.0363,log(GPa),0
log_kvrh,crystalsys,coGN,0.000457,0.008689,0.999416,0.057743,0.110343,0.914866,0.065392,0.111859,0.92173,1.7106,0.007,8125,1160,1698,800,0.56,log(GPa),0
log_kvrh,crystalsys,coNGN,0.000384,0.007107,0.999609,0.049702,0.103309,0.925374,0.052487,0.087591,0.952007,1.6688,0.0073,8125,1160,1698,600,1.1124,log(GPa),0
log_kvrh,elements,coGN,0.00061,0.009874,0.999313,0.066247,0.120697,0.894345,0.069715,0.12798,0.868433,1.8358,0.0088,5724,818,4441,800,0.3924,log(GPa),0
log_kvrh,elements,coNGN,0.00036,0.001423,0.999986,0.058475,0.113519,0.906538,0.06028,0.114129,0.89537,1.8933,0.006,5724,818,4441,600,0.7784,log(GPa),0
log_kvrh,index,coGN,0.000426,0.004955,0.999816,0.056353,0.113077,0.908438,0.059681,0.121106,0.895832,2.0292,0.0071,7689,1098,2196,800,0.4977,log(GPa),0
log_kvrh,index,coNGN,0.000265,0.001025,0.999992,0.050579,0.103919,0.92267,0.05067,0.108745,0.916012,2.1461,0.0052,7689,1098,2196,600,1.0696,log(GPa),0
log_kvrh,periodictablegroups,coGN,0.000493,0.009635,0.999118,0.049349,0.100235,0.897111,0.158657,0.250257,0.673967,1.5773,0.0031,7273,1039,2671,800,0.5003,log(GPa),0
log_kvrh,periodictablegroups,coNGN,0.000287,0.001445,0.99998,0.043864,0.093537,0.910403,0.107869,0.175975,0.83879,1.6314,0.0027,7273,1039,2671,600,1.0045,log(GPa),0
log_kvrh,pointgroup,coGN,0.000429,0.004142,0.99987,0.056488,0.115507,0.897105,0.068418,0.117338,0.908586,1.715,0.0063,7786,1112,2085,800,0.5416,log(GPa),0
log_kvrh,pointgroup,coNGN,0.00034,0.003534,0.999906,0.051348,0.108889,0.908559,0.056371,0.101349,0.931801,1.7979,0.006,7786,1112,2085,600,0.996,log(GPa),0
log_kvrh,sgnum,coGN,0.000467,0.00996,0.999272,0.052993,0.099926,0.922854,0.069006,0.116381,0.900288,1.6865,0.0068,7486,1069,2428,800,0.5245,log(GPa),0
log_kvrh,sgnum,coNGN,0.000371,0.008807,0.999431,0.046688,0.092743,0.933546,0.057463,0.096384,0.93161,1.6773,0.0065,7486,1069,2428,600,0.961,log(GPa),0
mp_e_form,chemsys,coGN,0.001076,0.008247,0.99995,0.022243,0.05652,0.997692,0.023724,0.059314,0.997322,2.5002,0.0454,91527,13077,28117,800,3.822,eV/atom,0
mp_e_form,chemsys,coNGN,0.000458,0.005796,0.999975,0.021917,0.058195,0.997553,0.023323,0.059084,0.997343,2.5333,0.0196,91527,13077,28117,600,26.6478,eV/atom,0
mp_e_form,composition,coGN,0.001108,0.00909,0.999939,0.021542,0.050508,0.998106,0.024331,0.057939,0.997513,2.3813,0.0455,93255,13323,26143,800,4.2775,eV/atom,0
mp_e_form,composition,coNGN,0.000468,0.006528,0.999969,0.020957,0.053853,0.997847,0.022762,0.057169,0.997579,2.5116,0.0206,93255,13323,26143,600,27.3194,eV/atom,0
mp_e_form,crystalsys,coGN,0.001041,0.008059,0.999951,0.020178,0.055064,0.997733,0.048379,0.113924,0.990422,2.3548,0.0215,92710,13245,26766,800,4.6112,eV/atom,0
mp_e_form,crystalsys,coNGN,0.000464,0.007415,0.999958,0.019424,0.047754,0.998295,0.046727,0.121083,0.98918,2.5913,0.0099,92710,13245,26766,600,29.8506,eV/atom,0
mp_e_form,elements,coGN,0.000906,0.006705,0.99996,0.019521,0.050561,0.997747,0.059489,0.114135,0.986001,1.9186,0.0152,74445,10632,47641,800,3.7863,eV/atom,0
mp_e_form,elements,coNGN,0.00042,0.004322,0.999983,0.018332,0.050723,0.997732,0.062246,0.122377,0.983906,1.966,0.0067,74445,10632,47641,600,26.6114,eV/atom,0
mp_e_form,index,coGN,0.001018,0.00903,0.99994,0.021956,0.0536,0.997845,0.021616,0.052643,0.997974,2.4354,0.0471,92902,13272,26547,800,3.7142,eV/atom,0
mp_e_form,index,coNGN,0.000518,0.007849,0.999954,0.022169,0.060958,0.997213,0.021517,0.053575,0.997902,2.4899,0.0241,92902,13272,26547,600,27.1507,eV/atom,0
mp_e_form,periodictablegroups,coGN,0.001122,0.008688,0.999942,0.021313,0.059426,0.997302,0.219839,0.341974,0.921661,1.5556,0.0051,87327,12477,32917,800,3.8586,eV/atom,0
mp_e_form,periodictablegroups,coNGN,0.000501,0.00691,0.999963,0.021339,0.06659,0.996612,0.225843,0.359296,0.913524,1.5909,0.0022,87327,12477,32917,600,24.0833,eV/atom,0
mp_e_form,pointgroup,coGN,0.000976,0.009716,0.99993,0.021271,0.050933,0.998116,0.021706,0.04859,0.99806,2.2385,0.045,93409,13346,25966,800,4.1499,eV/atom,0
mp_e_form,pointgroup,coNGN,0.000496,0.007466,0.999959,0.021675,0.053953,0.997886,0.021479,0.048491,0.998068,2.2576,0.0231,93409,13346,25966,600,20.996,eV/atom,0
mp_e_form,sgnum,coGN,0.001077,0.008294,0.999944,0.020769,0.065274,0.996596,0.057175,0.149723,0.988028,2.6187,0.0188,96544,13791,22386,800,3.8632,eV/atom,0
