dataset,split,model,set,mean_signed_error,rmse_mae_ratio,p90_abs_error,p95_abs_error,frac_within_2mae,n_loaded
log_gvrh,crystalsys,coGN,train,6.8e-05,6.1978,0.00078,0.000995,0.945,5000
log_gvrh,crystalsys,coGN,val,0.00613,1.5379,0.189409,0.251303,0.8501,1161
log_gvrh,crystalsys,coGN,test,0.000757,1.3959,0.194043,0.244501,0.8728,1698
log_gvrh,crystalsys,coNGN,train,0.000122,7.8484,0.000693,0.000863,0.9792,5000
log_gvrh,crystalsys,coNGN,val,0.010674,1.5811,0.168152,0.242015,0.8519,1161
log_gvrh,crystalsys,coNGN,test,0.000913,1.4131,0.170539,0.22801,0.8757,1698
log_gvrh,elements,coGN,train,5.4e-05,5.2674,0.000772,0.000979,0.9382,5000
log_gvrh,elements,coGN,val,0.009984,1.492,0.17909,0.245617,0.8545,935
log_gvrh,elements,coGN,test,-0.008165,1.3971,0.239934,0.313491,0.8767,3503
log_gvrh,elements,coNGN,train,-6.1e-05,6.1825,0.000661,0.000831,0.9542,5000
log_gvrh,elements,coNGN,val,0.014608,1.5414,0.176429,0.253682,0.8749,935
log_gvrh,elements,coNGN,test,-0.003197,1.4235,0.224231,0.286443,0.875,3503
log_gvrh,index,coGN,train,5.4e-05,7.0837,0.000806,0.001016,0.959,5000
log_gvrh,index,coGN,val,0.000358,1.5376,0.184478,0.261602,0.8707,1098
log_gvrh,index,coGN,test,0.001277,1.5511,0.172281,0.231914,0.8683,2195
log_gvrh,index,coNGN,train,0.000139,5.1504,0.000731,0.000933,0.943,5000
log_gvrh,index,coNGN,val,0.003595,1.5808,0.171838,0.252116,0.8725,1098
log_gvrh,index,coNGN,test,0.003181,1.5972,0.164726,0.230312,0.8683,2195
log_gvrh,periodictablegroups,coGN,train,0.000145,7.9543,0.000833,0.001047,0.9624,5000
log_gvrh,periodictablegroups,coGN,val,0.002586,1.5557,0.172853,0.240895,0.8674,1056
log_gvrh,periodictablegroups,coGN,test,-0.06007,1.3095,0.272547,0.330384,0.8851,2524
log_gvrh,periodictablegroups,coNGN,train,5e-05,9.2684,0.000595,0.000771,0.983,5000
log_gvrh,periodictablegroups,coNGN,val,0.008372,1.5656,0.173679,0.229813,0.8627,1056
log_gvrh,periodictablegroups,coNGN,test,-0.036909,1.3333,0.232448,0.291337,0.8875,2524
log_gvrh,pointgroup,coGN,train,0.000304,5.3675,0.0011,0.001412,0.967,5000
log_gvrh,pointgroup,coGN,val,0.012578,1.5264,0.1773,0.237026,0.862,1152
log_gvrh,pointgroup,coGN,test,0.039014,1.4631,0.247004,0.320994,0.8641,1766
log_gvrh,pointgroup,coNGN,train,4e-06,7.6052,0.00074,0.001,0.9648,5000
log_gvrh,pointgroup,coNGN,val,0.01207,1.5458,0.159355,0.22127,0.8681,1152
log_gvrh,pointgroup,coNGN,test,0.01639,1.423,0.204575,0.268667,0.8703,1766
log_gvrh,sgnum,coGN,train,-1.3e-05,3.6505,0.000763,0.001,0.9218,5000
log_gvrh,sgnum,coGN,val,0.003059,1.532,0.175915,0.247659,0.8669,1180
log_gvrh,sgnum,coGN,test,0.007233,1.4142,0.240929,0.310215,0.8742,1542
log_gvrh,sgnum,coNGN,train,3.7e-05,10.0867,0.000614,0.000815,0.9664,5000
log_gvrh,sgnum,coNGN,val,0.006872,1.5702,0.172546,0.245919,0.8636,1180
log_gvrh,sgnum,coNGN,test,0.005508,1.456,0.21982,0.290448,0.88,1542
log_kvrh,chemsys,coGN,train,-0.000246,18.6595,0.000673,0.000994,0.9704,5000
log_kvrh,chemsys,coGN,val,0.004876,2.0872,0.143773,0.23167,0.8833,1097
log_kvrh,chemsys,coGN,test,0.000815,1.9619,0.131404,0.219227,0.8748,2204
log_kvrh,chemsys,coNGN,train,4.2e-05,5.6768,0.000583,0.000798,0.9518,5000
log_kvrh,chemsys,coNGN,val,0.001812,2.2322,0.115476,0.203634,0.8861,1097
log_kvrh,chemsys,coNGN,test,6e-05,2.0284,0.112944,0.170021,0.8807,2204
log_kvrh,composition,coGN,train,0.000161,21.5787,0.000627,0.000855,0.9638,5000
log_kvrh,composition,coGN,val,0.001114,1.9505,0.126512,0.19176,0.874,1095
log_kvrh,composition,coGN,test,0.005401,1.8786,0.142492,0.241343,0.8774,2226
log_kvrh,composition,coNGN,train,-9.7e-05,4.2758,0.000537,0.000738,0.9212,5000
log_kvrh,composition,coNGN,val,0.000775,2.1415,0.114832,0.18942,0.8849,1095
log_kvrh,composition,coNGN,test,0.002003,1.9785,0.125193,0.215883,0.8787,2226
log_kvrh,crystalsys,coGN,train,0.000101,3.4663,0.000653,0.000886,0.9098,5000
log_kvrh,crystalsys,coGN,val,0.00424,1.9109,0.140375,0.222062,0.8802,1160
log_kvrh,crystalsys,coGN,test,0.010352,1.7106,0.169075,0.245678,0.8628,1698
log_kvrh,crystalsys,coNGN,train,0.000163,20.2058,0.000522,0.00072,0.967,5000
log_kvrh,crystalsys,coNGN,val,-0.000437,2.0786,0.114004,0.197953,0.8793,1160
log_kvrh,crystalsys,coNGN,test,-0.00067,1.6688,0.122871,0.184034,0.871,1698
log_kvrh,elements,coGN,train,-2.8e-05,16.6186,0.000803,0.001085,0.9672,5000
log_kvrh,elements,coGN,val,0.001867,1.8219,0.160998,0.255064,0.8643,818
log_kvrh,elements,coGN,test,0.008252,1.8358,0.149506,0.247314,0.8912,4441
log_kvrh,elements,coNGN,train,-5.3e-05,3.4038,0.00065,0.000873,0.9114,5000
log_kvrh,elements,coNGN,val,0.001155,1.9413,0.139437,0.225734,0.8716,818
log_kvrh,elements,coNGN,test,-0.000295,1.8933,0.126051,0.207698,0.8908,4441
log_kvrh,index,coGN,train,-1.1e-05,10.8329,0.00065,0.000858,0.9434,5000
log_kvrh,index,coGN,val,-0.003273,2.0066,0.13783,0.221648,0.8807,1098
log_kvrh,index,coGN,test,0.001802,2.0292,0.134745,0.232391,0.8825,2196
log_kvrh,index,coNGN,train,-6e-06,4.1278,0.000479,0.000688,0.9148,5000
log_kvrh,index,coNGN,val,-0.000144,2.0546,0.124994,0.195614,0.8752,1098
log_kvrh,index,coNGN,test,0.003043,2.1461,0.109482,0.177336,0.8857,2196
log_kvrh,periodictablegroups,coGN,train,-8.9e-05,5.6554,0.000573,0.000784,0.947,5000
log_kvrh,periodictablegroups,coGN,val,0.002608,2.0312,0.112776,0.183978,0.8826,1039
log_kvrh,periodictablegroups,coGN,test,0.092711,1.5773,0.399859,0.579005,0.8499,2671
log_kvrh,periodictablegroups,coNGN,train,6e-06,3.6361,0.000466,0.000631,0.9284,5000
log_kvrh,periodictablegroups,coNGN,val,0.002137,2.1324,0.099798,0.150702,0.8739,1039
log_kvrh,periodictablegroups,coNGN,test,-0.000364,1.6314,0.26526,0.375356,0.8656,2671
log_kvrh,pointgroup,coGN,train,0.000123,10.797,0.000645,0.000912,0.94,5000
log_kvrh,pointgroup,coGN,val,0.005754,2.0448,0.133906,0.235846,0.8822,1112
log_kvrh,pointgroup,coGN,test,0.005355,1.715,0.179716,0.251757,0.8609,2085
log_kvrh,pointgroup,coNGN,train,5.3e-05,11.6964,0.000503,0.000696,0.9584,5000
log_kvrh,pointgroup,coNGN,val,0.003925,2.1206,0.115385,0.207726,0.8867,1112
log_kvrh,pointgroup,coNGN,test,-0.003116,1.7979,0.129609,0.19867,0.8647,2085
log_kvrh,sgnum,coGN,train,0.000146,22.3241,0.000602,0.000831,0.9752,5000
log_kvrh,sgnum,coGN,val,0.003187,1.8856,0.124281,0.209265,0.87,1069
log_kvrh,sgnum,coGN,test,0.010801,1.6865,0.168557,0.251191,0.8649,2428
log_kvrh,sgnum,coNGN,train,0.000155,24.7642,0.000493,0.000673,0.9696,5000
log_kvrh,sgnum,coNGN,val,0.003896,1.9864,0.11226,0.184837,0.8765,1069
log_kvrh,sgnum,coNGN,test,-0.002909,1.6773,0.1338,0.19517,0.8699,2428
mp_e_form,chemsys,coGN,train,-0.000417,4.7397,0.001705,0.002623,0.9308,5000
mp_e_form,chemsys,coGN,val,-0.003571,2.2451,0.050393,0.081842,0.881,5000
mp_e_form,chemsys,coGN,test,-0.004163,2.3075,0.051109,0.085441,0.88,5000
mp_e_form,chemsys,coNGN,train,0.000125,2.1382,0.000795,0.001046,0.9068,5000
mp_e_form,chemsys,coNGN,val,-0.004247,2.5555,0.048252,0.086743,0.888,5000
mp_e_form,chemsys,coNGN,test,-0.003934,2.4625,0.051545,0.087158,0.8886,5000
mp_e_form,composition,coGN,train,-0.000126,8.6836,0.001881,0.002814,0.934,5000
mp_e_form,composition,coGN,val,-0.003075,2.2976,0.04986,0.082353,0.8798,5000
mp_e_form,composition,coGN,test,-0.004651,2.4736,0.055905,0.089762,0.8838,5000
mp_e_form,composition,coNGN,train,5.3e-05,4.899,0.000803,0.001061,0.9134,5000
mp_e_form,composition,coNGN,val,-0.003536,2.6084,0.046409,0.080085,0.8826,5000
mp_e_form,composition,coNGN,test,-0.005419,2.5561,0.050023,0.086727,0.891,5000
mp_e_form,crystalsys,coGN,train,8.9e-05,3.3208,0.001807,0.002826,0.9188,5000
mp_e_form,crystalsys,coGN,val,-0.003667,3.1783,0.048478,0.074186,0.8826,5000
mp_e_form,crystalsys,coGN,test,-0.00554,2.1963,0.102824,0.162479,0.8922,5000
mp_e_form,crystalsys,coNGN,train,-0.000157,14.108,0.000773,0.001028,0.95,5000
mp_e_form,crystalsys,coNGN,val,-0.002545,2.4965,0.044489,0.074555,0.8874,5000
mp_e_form,crystalsys,coNGN,test,-0.011204,3.2462,0.096714,0.162398,0.9016,5000
mp_e_form,elements,coGN,train,-0.000247,3.2924,0.001599,0.002334,0.911,5000
mp_e_form,elements,coGN,val,-0.003755,2.4272,0.042831,0.070169,0.8854,5000
mp_e_form,elements,coGN,test,-0.0009,1.8528,0.136423,0.205076,0.8762,5000
mp_e_form,elements,coNGN,train,-0.000168,2.3786,0.000801,0.001065,0.8972,5000
mp_e_form,elements,coNGN,val,-0.003616,2.2127,0.040323,0.068954,0.8814,5000
mp_e_form,elements,coNGN,test,-0.00066,1.8712,0.144001,0.218678,0.8764,5000
mp_e_form,index,coGN,train,-0.000513,11.6342,0.001693,0.002438,0.9366,5000
mp_e_form,index,coGN,val,-0.003156,2.3048,0.048555,0.07718,0.8826,5000
mp_e_form,index,coGN,test,-0.003419,2.5883,0.049942,0.088235,0.8884,5000
mp_e_form,index,coNGN,train,-0.00015,19.4142,0.000869,0.001146,0.9576,5000
mp_e_form,index,coNGN,val,-0.004018,2.5494,0.048935,0.080345,0.8832,5000
mp_e_form,index,coNGN,test,-0.004582,2.6929,0.051031,0.086514,0.888,5000
mp_e_form,periodictablegroups,coGN,train,0.000158,2.8961,0.001962,0.002934,0.9072,5000
mp_e_form,periodictablegroups,coGN,val,-0.00323,2.5485,0.046546,0.076461,0.8836,5000
mp_e_form,periodictablegroups,coGN,test,0.085109,1.5694,0.561471,0.766249,0.8482,5000
mp_e_form,periodictablegroups,coNGN,train,-2.3e-05,10.4662,0.000849,0.001161,0.9346,5000
mp_e_form,periodictablegroups,coNGN,val,-0.006223,3.475,0.047354,0.082418,0.893,5000
mp_e_form,periodictablegroups,coNGN,test,0.096847,1.5738,0.587547,0.823715,0.8506,5000
mp_e_form,pointgroup,coGN,train,-0.000249,17.4832,0.001561,0.002251,0.9634,5000
mp_e_form,pointgroup,coGN,val,-0.004319,2.446,0.04731,0.078562,0.887,5000
mp_e_form,pointgroup,coGN,test,-0.004808,2.1848,0.048735,0.076398,0.8822,5000
mp_e_form,pointgroup,coNGN,train,1.9e-05,1.8821,0.000822,0.001108,0.8988,5000
mp_e_form,pointgroup,coNGN,val,-0.005407,2.4331,0.048416,0.081744,0.8812,5000
mp_e_form,pointgroup,coNGN,test,-0.005186,2.5485,0.047618,0.071177,0.8898,5000
mp_e_form,sgnum,coGN,train,-0.000426,9.5478,0.001773,0.002689,0.9338,5000
mp_e_form,sgnum,coGN,val,-0.002534,3.4232,0.046282,0.075243,0.888,5000
mp_e_form,sgnum,coGN,test,-0.012022,2.7513,0.111525,0.23584,0.8996,5000
mp_e_form,sgnum,coNGN,train,-5.1e-05,3.7007,0.000824,0.001113,0.9158,5000
mp_e_form,sgnum,coNGN,val,-0.002971,3.1319,0.040402,0.066855,0.8886,5000
mp_e_form,sgnum,coNGN,test,-0.001589,2.8743,0.102081,0.221847,0.9056,5000
mp_gap,chemsys,coGN,train,-0.000981,9.8948,0.003731,0.005358,0.9722,5000
mp_gap,chemsys,coGN,val,0.021729,2.4411,0.472925,0.789681,0.8616,5000
mp_gap,chemsys,coGN,test,0.022072,2.2823,0.58361,0.848295,0.8556,5000
mp_gap,chemsys,coNGN,train,-0.001222,9.5915,0.006116,0.009848,0.9664,5000
mp_gap,chemsys,coNGN,val,0.014217,2.4017,0.512491,0.804929,0.8576,5000
mp_gap,chemsys,coNGN,test,0.026264,2.308,0.580965,0.949946,0.861,5000
mp_gap,composition,coGN,train,-0.002185,13.5069,0.00374,0.005356,0.9782,5000
mp_gap,composition,coGN,val,0.009724,2.3747,0.475458,0.7459,0.8592,5000
mp_gap,composition,coGN,test,-0.004736,2.4857,0.571311,0.937712,0.862,5000
mp_gap,composition,coNGN,train,-0.001479,9.1034,0.007123,0.013394,0.9628,5000
mp_gap,composition,coNGN,val,0.014199,2.48,0.50683,0.843946,0.8606,5000
mp_gap,composition,coNGN,test,-0.010248,2.5129,0.608715,1.014696,0.8636,5000
mp_gap,crystalsys,coGN,train,-0.001687,8.8638,0.003852,0.005365,0.9746,5000
mp_gap,crystalsys,coGN,val,0.019273,2.4177,0.464527,0.711977,0.8554,5000
mp_gap,crystalsys,coGN,test,0.04058,1.9262,0.872986,1.363122,0.8542,5000
mp_gap,crystalsys,coNGN,train,-0.001035,10.6561,0.004496,0.006442,0.9708,5000
mp_gap,crystalsys,coNGN,val,0.019503,2.4498,0.435601,0.704474,0.8626,5000
mp_gap,crystalsys,coNGN,test,-0.007977,2.0062,0.833994,1.323394,0.8454,5000
mp_gap,elements,coGN,train,-0.000238,13.473,0.004116,0.00577,0.9758,5000
mp_gap,elements,coGN,val,0.025525,2.4285,0.483042,0.791063,0.8646,5000
mp_gap,elements,coGN,test,0.065429,1.8764,1.460936,2.198673,0.8268,5000
mp_gap,elements,coNGN,train,-0.002458,8.701,0.00521,0.008644,0.9628,5000
mp_gap,elements,coNGN,val,0.008444,2.4861,0.455736,0.720176,0.8612,5000
mp_gap,elements,coNGN,test,0.025321,1.9272,1.549868,2.200767,0.8208,5000
mp_gap,index,coGN,train,-0.001775,8.4404,0.003856,0.005358,0.9724,5000
mp_gap,index,coGN,val,0.020383,2.4613,0.482927,0.77813,0.8606,5000
mp_gap,index,coGN,test,0.035459,2.4698,0.52427,0.890088,0.8664,5000
mp_gap,index,coNGN,train,-0.002355,11.3159,0.005555,0.009175,0.9684,5000
mp_gap,index,coNGN,val,0.009387,2.491,0.475588,0.768893,0.8604,5000
mp_gap,index,coNGN,test,0.021302,2.4918,0.52048,0.833881,0.8646,5000
mp_gap,periodictablegroups,coGN,train,-0.00042,10.6441,0.00453,0.006355,0.9708,5000
mp_gap,periodictablegroups,coGN,val,0.011027,2.4036,0.536067,0.845165,0.8612,5000
mp_gap,periodictablegroups,coGN,test,-0.094335,2.023,1.438835,2.057981,0.819,5000
mp_gap,periodictablegroups,coNGN,train,-0.00221,13.9211,0.00468,0.006771,0.9764,5000
mp_gap,periodictablegroups,coNGN,val,0.012585,2.4672,0.487315,0.786345,0.8648,5000
mp_gap,periodictablegroups,coNGN,test,-0.175449,1.9747,1.749736,2.338418,0.8114,5000
mp_gap,pointgroup,coGN,train,-0.000693,7.3045,0.003971,0.005368,0.968,5000
mp_gap,pointgroup,coGN,val,0.023469,2.5248,0.45299,0.722959,0.8622,5000
mp_gap,pointgroup,coGN,test,0.069174,2.0208,0.746131,1.223373,0.8664,5000
mp_gap,pointgroup,coNGN,train,-0.000688,12.1642,0.005367,0.008149,0.9738,5000
mp_gap,pointgroup,coNGN,val,0.011815,2.6595,0.442706,0.736802,0.8614,5000
mp_gap,pointgroup,coNGN,test,0.074684,2.0155,0.746402,1.160981,0.86,5000
mp_gap,sgnum,coGN,train,-0.001043,13.677,0.003518,0.004928,0.976,5000
mp_gap,sgnum,coGN,val,0.024671,2.4163,0.495633,0.793093,0.86,5000
mp_gap,sgnum,coGN,test,0.056578,2.1558,0.756597,1.247555,0.8612,5000
mp_gap,sgnum,coNGN,train,-0.002538,10.9873,0.005211,0.00882,0.9676,5000
mp_gap,sgnum,coNGN,val,0.021268,2.4872,0.46898,0.749839,0.8624,5000
mp_gap,sgnum,coNGN,test,0.052832,2.1864,0.75401,1.301766,0.8616,5000
perovskites,chemsys,coGN,train,-0.000194,5.3017,0.000883,0.0011,0.9256,5000
perovskites,chemsys,coGN,val,-0.00037,2.1072,0.057735,0.08605,0.9054,1892
perovskites,chemsys,coGN,test,-0.001919,1.7102,0.055989,0.082435,0.8917,3787
perovskites,chemsys,coNGN,train,0.000624,1.6939,0.001446,0.001782,0.9168,5000
perovskites,chemsys,coNGN,val,-0.000459,1.9944,0.064622,0.090084,0.8953,1892
perovskites,chemsys,coNGN,test,-0.000552,1.6586,0.064439,0.089416,0.8814,3787
perovskites,composition,coGN,train,0.000168,1.2878,0.000885,0.001095,0.8886,5000
