dataset,split,model,set,mean_signed_error,rmse_mae_ratio,p90_abs_error,p95_abs_error,frac_within_2mae,n_loaded
phonons,composition,coGN,train,0.046635,4.1586,1.377061,1.930829,0.9167,888
phonons,composition,coGN,val,4.36132,2.5385,73.86739,146.255669,0.9286,126
phonons,composition,coGN,test,5.563262,2.4416,91.303407,151.939311,0.9084,251
phonons,composition,coNGN,train,-0.05904,6.7392,0.605016,0.89076,0.9369,888
phonons,composition,coNGN,val,-3.003317,2.1567,71.049687,115.247669,0.8968,126
phonons,composition,coNGN,test,10.12957,2.9702,74.614158,145.520381,0.9283,251
phonons,crystalsys,coGN,train,-0.115726,1.708,1.486283,2.473965,0.9004,853
phonons,crystalsys,coGN,val,-3.750963,2.1332,72.845575,110.006605,0.9008,121
phonons,crystalsys,coGN,test,22.814462,1.701,136.216791,184.736755,0.8797,291
phonons,crystalsys,coNGN,train,0.038647,1.5028,0.589158,0.826512,0.8957,853
phonons,crystalsys,coNGN,val,-2.172692,2.0362,61.222503,77.340837,0.9256,121
phonons,crystalsys,coNGN,test,2.917359,2.3251,99.034641,160.33772,0.9107,291
phonons,elements,coGN,train,-0.112698,4.2818,1.396214,2.205257,0.9339,832
phonons,elements,coGN,val,-4.811986,2.1024,132.526064,170.737124,0.8814,118
phonons,elements,coGN,test,29.531031,1.5965,213.671446,262.784212,0.8825,315
phonons,elements,coNGN,train,0.005892,5.8363,0.602088,0.867787,0.9519,832
phonons,elements,coNGN,val,-8.693128,2.4434,89.409982,149.974491,0.8898,118
phonons,elements,coNGN,test,48.832113,1.6444,193.259958,231.294119,0.8984,315
phonons,index,coGN,train,0.295909,2.8196,1.544792,2.353023,0.9187,886
phonons,index,coGN,val,6.167794,1.6389,98.753806,131.406237,0.881,126
phonons,index,coGN,test,14.50768,2.9481,80.849482,125.34017,0.913,253
phonons,index,coNGN,train,0.152045,4.6617,0.838391,1.135564,0.9153,886
phonons,index,coNGN,val,7.723594,1.9754,85.427066,149.071599,0.873,126
phonons,index,coNGN,test,5.657888,1.7871,64.114799,93.251243,0.8775,253
phonons,periodictablegroups,coGN,train,0.223037,2.6329,2.217735,3.734813,0.91,844
phonons,periodictablegroups,coGN,val,-8.198569,1.5839,67.932836,92.985466,0.8833,120
phonons,periodictablegroups,coGN,test,-55.439016,1.8968,180.239248,350.404822,0.887,301
phonons,periodictablegroups,coNGN,train,-0.002262,4.998,0.666154,1.17691,0.9301,844
phonons,periodictablegroups,coNGN,val,-8.677974,1.8596,77.41467,91.061296,0.8583,120
phonons,periodictablegroups,coNGN,test,-22.057396,1.6137,134.106398,249.736169,0.9003,301
phonons,pointgroup,coGN,train,0.133062,4.0405,1.238842,1.967387,0.9232,938
phonons,pointgroup,coGN,val,4.226853,1.8434,78.023212,156.392381,0.8872,133
phonons,pointgroup,coGN,test,5.70325,1.9199,118.493093,161.679999,0.8814,194
phonons,pointgroup,coNGN,train,-0.110798,5.4517,0.692328,0.949003,0.9392,938
phonons,pointgroup,coNGN,val,-1.263904,1.5199,73.393787,120.388007,0.8647,133
phonons,pointgroup,coNGN,test,11.911915,2.0545,83.924263,147.342268,0.933,194
phonons,sgnum,coGN,train,-0.058243,4.4435,1.701678,3.025028,0.9226,904
phonons,sgnum,coGN,val,12.306472,1.6336,97.904612,148.947508,0.876,129
phonons,sgnum,coGN,test,21.258604,2.1757,93.05931,131.953461,0.9138,232
phonons,sgnum,coNGN,train,0.03097,4.756,0.777389,1.096808,0.927,904
phonons,sgnum,coNGN,val,6.095808,1.6951,84.020634,121.241634,0.8682,129
phonons,sgnum,coNGN,test,17.170085,2.1579,101.211541,128.499177,0.8879,232
