dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,n_train,n_val,n_test,epochs,train_time_h,units
jdft2d,chemsys,coGN,0.9674370848940439,6.744713918995262,0.9972131864133839,57.49750059437969,206.78039693190973,-0.041037082622568555,35.00797258699028,92.83297985319679,0.29726667337633905,448,63,125,800,0.0304,meV/atom
jdft2d,chemsys,coNGN,0.13298686856181113,0.48107770019020446,0.999985822119733,56.207520523267036,203.69136519145476,-0.010165909946417084,37.56619806763806,100.30868108074492,0.17952942931801852,448,63,125,600,0.0929,meV/atom
jdft2d,composition,coGN,0.9034070124863496,5.79559106213432,0.9983606359466133,46.03578259564238,108.92924073334552,0.4949214471289606,27.621246077990904,58.916422888507675,0.4504940924220554,444,63,129,800,0.0616,meV/atom
jdft2d,composition,coNGN,0.2266284459314457,0.9327904020551112,0.9999575333426932,42.029069122102435,104.70469472339488,0.5333381651440691,32.62851096546642,73.56909143213697,0.14317839384019448,444,63,129,600,0.0929,meV/atom
jdft2d,crystalsys,coGN,0.9783368443178396,7.168542389393364,0.995051079254451,60.11560658527344,185.57195742030575,0.12150547230596931,75.07944176512312,203.63144199850603,-0.00689849474453208,478,68,90,800,0.0538,meV/atom
jdft2d,crystalsys,coNGN,0.18988441090689676,0.930621173583866,0.999916594509193,55.169311523974955,158.55105631094466,0.35871269506912995,66.66404215342878,197.15284865042315,0.05615184474708923,478,68,90,600,0.0987,meV/atom
jdft2d,elements,coGN,1.1372549969420656,9.275301736647886,0.9958134542767842,27.806948551060245,59.06507960063664,0.6740383000518586,32.25082514039057,95.25179686991461,0.34496781062487825,418,59,159,800,0.058,meV/atom
jdft2d,elements,coNGN,0.27821796734748844,2.0998604466192354,0.9997854242635362,34.79214014739229,70.15018927463136,0.5402066548530966,23.818367137739116,91.87022582148529,0.3906513462338135,418,59,159,600,0.0812,meV/atom
jdft2d,index,coGN,0.7067366563703408,6.047927008490885,0.9976494396721265,27.490261048003315,56.225716138659614,0.3044268384827157,50.55146018692802,166.30936914871782,0.158423013222876,446,63,127,800,0.03,meV/atom
jdft2d,index,coNGN,0.10784192254859212,0.1503432549252491,0.9999985474663015,25.192759066517983,54.0202235058666,0.357925268830103,49.57254715484091,170.4786892239046,0.11569798683149113,446,63,127,600,0.05,meV/atom
jdft2d,periodictablegroups,coGN,0.47289206640950354,4.3401796801512855,0.9987612288691132,24.72200718765583,51.22779613827574,0.9006547227648254,50.213105959865764,150.46940142534532,-0.028326167674849856,421,60,155,800,0.0744,meV/atom
jdft2d,periodictablegroups,coNGN,0.13548562402615966,0.519626189040392,0.9999822434855294,26.523946510431223,67.65645715831174,0.8267176276114567,41.963315552935406,147.48465729761477,0.012065418934711802,421,60,155,600,0.0754,meV/atom
jdft2d,pointgroup,coGN,0.36690338316445464,3.113167162786917,0.9992324343978142,31.595775414995448,57.619544932459185,0.536547442220255,65.83896020009907,183.2981256733181,0.08124678027903343,423,60,153,800,0.0744,meV/atom
jdft2d,pointgroup,coNGN,0.12820571395759578,0.4783850868705766,0.9999818755061501,24.803268533357578,62.71490123795314,0.4509560368362101,67.66895065967874,181.21960300196943,0.10196518189070258,423,60,153,600,0.0921,meV/atom
